slug,originalTitle,originalLanguage,artist_slugs,releaseDate,variantLabel,baseVersion_slug,ja_title,ja_variantLabel,ko_title,ko_variantLabel,en_title,en_variantLabel,sourceNote,album_slug,disc_number,track_number
tenchi-reimei,天地黎明,ja,edel-note,2025-05-21,,,,,천지여명,,Tenchi Reimei,,,,,2
chili-con-carne,チリコンカン,ja,edel-note,2025-05-21,,,,,칠리 콘 카르네,,Chili Con Carne,,,,,3
suisai-sekai-kozue,水彩世界,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,suisai-sekai,,,수채세계,,Suisai Sekai,,,star-sign-memories-kozue,1,1
ouka-ranman-kozue,謳歌爛漫,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,ouka-ranman,,,구가난만,,Ouka Ranman,,,star-sign-memories-kozue,1,2
reflection-in-the-mirror-kozue,Reflection in the mirror,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,reflection-in-the-mirror,,,,,,,,star-sign-memories-kozue,1,3
holiday-holiday-kozue,Holiday∞Holiday,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,holiday-holiday,,,,,,,,star-sign-memories-kozue,1,4
genyou-yakou-kozue,眩耀夜行,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,genyou-yakou,,,현요야행,,Genyou Yakou,,,star-sign-memories-kozue,1,5
sugao-no-pixel-kozue,素顔のピクセル,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,sugao-no-pixel,,,맨얼굴의 픽셀,,Sugao no Pixel,,,star-sign-memories-kozue,1,6
senpen-banka-kozue,千変万華,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,senpen-banka,,,천변만화,,Senpen Banka,,,star-sign-memories-kozue,1,7
special-thanks-kozue,Special Thanks,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,special-thanks,,,,,,,,star-sign-memories-kozue,1,8
aoku-haruka-kozue,アオクハルカ,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,aoku-haruka,,,파랗게 아득히,,Aoku Haruka,,,star-sign-memories-kozue,2,1
tsukuyomi-kurage-kozue,月夜見海月,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,tsukuyomi-kurage,,,달밤을 보는 해파리,,Tsukuyomi Kurage,,,star-sign-memories-kozue,2,2
hanamusubi-kozue,ハナムスビ,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,hanamusubi,,,하나무스비,,Hanamusubi,,,star-sign-memories-kozue,2,3
yume-wazurai-kozue,ユメワズライ,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,yume-wazurai,,,꿈 앓이,,Yume Wazurai,,,star-sign-memories-kozue,2,4
asu-no-sora-no-bokutachi-e-kozue,明日の空の僕たちへ,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,asu-no-sora-no-bokutachi-e,,,내일 하늘의 우리에게,,Asu no Sora no Bokutachi e,,,star-sign-memories-kozue,2,5
deepness-kozue,DEEPNESS,ja,kozue-solo,2025-06-04,Kozue Solo Ver.,deepness,,,,,,,,star-sign-memories-kozue,2,6
dream-believers-sakura-kozue,Dream Believers,ja,kozue-solo,2025-06-04,SAKURA Kozue Solo Ver.,dream-believers,,,,,,,,star-sign-memories-kozue,2,7
be-proud,be proud,ja,kozue-solo,2025-06-04,,,,,,,,,,star-sign-memories-kozue,2,8
awoke-tsuzuri,AWOKE,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,awoke,,,,,,,,star-sign-memories-tsuzuri,1,1
scape-goat-tsuzuri,スケイプゴート,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,scape-goat,,,희생양,,Scapegoat,,,star-sign-memories-tsuzuri,1,2
sparkly-spot-tsuzuri,Sparkly Spot,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,sparkly-spot,,,,,,,,star-sign-memories-tsuzuri,1,3
tragic-drops-tsuzuri,Tragic Drops,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,tragic-drops,,,,,,,,star-sign-memories-tsuzuri,1,4
mirage-voyage-tsuzuri,Mirage Voyage,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,mirage-voyage,,,,,,,,star-sign-memories-tsuzuri,1,5
take-it-over-tsuzuri,Take It Over,ja,tsuzuri-solo,2025-06-04,Tsuzuri Solo Ver.,take-it-over,,,,,,,,star-sign-memories-tsuzuri,1,6
